timestamp,container_name,cpu_percent,mem_usage_mb,mem_limit_mb,mem_percent
1769628165.5462184,recommender,0.03,111.4,15841.28,0.7032260019392372
1769628165.5462184,ratings,0.02,28.3,15841.28,0.1786471800258565
1769628165.5462184,redis,0.48,8.414,15841.28,0.05311439479638009
1769628169.3394234,recommender,0.02,111.4,15841.28,0.7032260019392372
1769628169.3394234,ratings,0.02,28.3,15841.28,0.1786471800258565
1769628169.3394234,redis,2.96,8.414,15841.28,0.05311439479638009
1769628173.208533,recommender,0.02,111.4,15841.28,0.7032260019392372
1769628173.208533,ratings,0.02,28.3,15841.28,0.1786471800258565
1769628173.208533,redis,0.68,8.535,15841.28,0.05387822196186167
